Year,Type,Country,Amount
1980,Oil,World,3323.726256
1981,Oil,World,3193.365435
1982,Oil,World,3121.116123
1983,Oil,World,3077.902601
1984,Oil,World,3113.418772
1985,Oil,World,3108.030282
1986,Oil,World,3212.476777
1987,Oil,World,3275.839214
1988,Oil,World,3378.657477
1989,Oil,World,3409.379785
1990,Oil,World,3448.911016
1991,Oil,World,3466.995468
1992,Oil,World,3491.648666
1993,Oil,World,3455.133558
1994,Oil,World,3525.32363
1995,Oil,World,3606.640615
1996,Oil,World,3687.711434
1997,Oil,World,3773.245265
1998,Oil,World,3805.825458
1999,Oil,World,3891.736039
2000,Oil,World,3931.097129
2001,Oil,World,3970.910686
2002,Oil,World,4007.0503
2003,Oil,World,4122.546545
2004,Oil,World,4246.732734
2005,Oil,World,4318.798675
2006,Oil,World,4370.903842
2007,Oil,World,4421.361482
2008,Oil,World,4419.956621
2009,Oil,World,4365.258751
2010,Oil,World,4498.280217
2011,Oil,World,4529.666626
2012,Oil,World,4602.682561
2013,Oil,World,4649.74323
2014,Oil,World,4733.501143
2015,Oil,World,4816.831325
2016,Oil,World,4881.859792
1980,Oil,US,867.79529
1981,Oil,US,805.5694
1982,Oil,US,762.99738
1983,Oil,US,758.86346
1984,Oil,US,784.31427
1985,Oil,US,781.3017
1986,Oil,US,813.62567
1987,Oil,US,830.63867
1988,Oil,US,864.94226
1989,Oil,US,864.62714
1990,Oil,US,847.83624
1991,Oil,US,830.29382
1992,Oil,US,847.67151
1993,Oil,US,851.08734
1994,Oil,US,873.17603
1995,Oil,US,870.62378
1996,Oil,US,901.40338
1997,Oil,US,913.93536
1998,Oil,US,930.66223
1999,Oil,US,956.53082
2000,Oil,US,967.66156
2001,Oil,US,965.94373
2002,Oil,US,967.6333
2003,Oil,US,983.94995
2004,Oil,US,1021.8605
2005,Oil,US,1024.9855
2006,Oil,US,1016.4853
2007,Oil,US,1010.7549
2008,Oil,US,950.89734
2009,Oil,US,905.39093
2010,Oil,US,922.51855
2011,Oil,US,908.46014
2012,Oil,US,888.19891
2013,Oil,US,905.85614
2014,Oil,US,912.81427
2015,Oil,US,932.39435
2016,Oil,US,945.45886
1980,Oil,China,99.299896
1981,Oil,China,98.232132
1982,Oil,China,100.20577
1983,Oil,China,102.46466
1984,Oil,China,108.23249
1985,Oil,China,109.99734
1986,Oil,China,115.60035
1987,Oil,China,123.62993
