Year,Country,Population,Real GDP
1994,World,5663150427,4.11E+13
1995,World,5744212979,4.23E+13
1996,World,5824891951,4.37E+13
1997,World,5905045788,4.54E+13
1998,World,5984793942,4.65E+13
1999,World,6064239055,4.80E+13
2000,World,6143493823,5.01E+13
2001,World,6222626606,5.11E+13
2002,World,6301773188,5.22E+13
2003,World,6381185114,5.37E+13
2004,World,6461159389,5.61E+13
2005,World,6541907027,5.82E+13
2006,World,6623517833,6.07E+13
2007,World,6705946610,6.33E+13
2008,World,6789088686,6.44E+13
2009,World,6872767093,6.33E+13
2010,World,6956823603,6.60E+13
2011,World,7041194301,6.81E+13
2012,World,7125828059,6.98E+13
2013,World,7210581976,7.17E+13
2014,World,7295290765,7.37E+13
2015,World,7379797139,7.58E+13
2016,World,7464022049,7.78E+13
2017,World,7547858925,8.03E+13
1994,US,262241196,1.00E+13
1995,US,265163745,1.03E+13
1996,US,268335003,1.07E+13
1997,US,271713635,1.12E+13
1998,US,275175301,1.17E+13
1999,US,278548150,1.22E+13
2000,US,281710909,1.27E+13
2001,US,284607993,1.28E+13
2002,US,287279318,1.31E+13
2003,US,289815562,1.34E+13
2004,US,292354658,1.39E+13
2005,US,294993511,1.44E+13
2006,US,297758969,1.48E+13
2007,US,300608429,1.51E+13
2008,US,303486012,1.50E+13
2009,US,306307567,1.46E+13
2010,US,309011475,1.50E+13
2011,US,311584047,1.52E+13
2012,US,314043885,1.56E+13
2013,US,316400538,1.59E+13
2014,US,318673411,1.62E+13
2015,US,320878310,1.67E+13
2016,US,323015995,1.70E+13
2017,US,325084756,1.73E+13
1994,China,1230020031,1.33E+12
1995,China,1240920535,1.48E+12
1996,China,1251636186,1.63E+12
1997,China,1261996012,1.78E+12
1998,China,1271982350,1.92E+12
1999,China,1281514832,2.06E+12
2000,China,1290550765,2.24E+12
2001,China,1299129752,2.42E+12
2002,China,1307352257,2.64E+12
2003,China,1315303521,2.91E+12
2004,China,1323084641,3.20E+12
2005,China,1330776380,3.57E+12
2006,China,1338408647,4.02E+12
2007,China,1345993888,4.60E+12
2008,China,1353569484,5.04E+12
2009,China,1361169419,5.51E+12
2010,China,1368810615,6.10E+12
2011,China,1376497639,6.68E+12
2012,China,1384206401,7.21E+12
2013,China,1391883330,7.77E+12
2014,China,1399453965,8.33E+12
2015,China,1406847870,8.91E+12
2016,China,1414049351,9.51E+12
2017,China,1421021791,1.02E+13
1994,India,945601831,6.04E+11
1995,India,963922588,6.50E+11
1996,India,982365243,6.99E+11
1997,India,1000900030,7.28E+11
1998,India,1019483581,7.73E+11
1999,India,1038058156,8.41E+11
2000,India,1056575549,8.73E+11
2001,India,1075000085,9.15E+11
2002,India,1093317189,9.50E+11
2003,India,1111523144,1.03E+12
2004,India,1129623456,1.11E+12
2005,India,1147609927,1.19E+12
2006,India,1165486291,1.29E+12
2007,India,1183209472,1.39E+12
2008,India,1200669765,1.43E+12
2009,India,1217726215,1.54E+12
2010,India,1234281170,1.68E+12
2011,India,1250287943,1.76E+12
2012,India,1265780247,1.86E+12
2013,India,1280842125,1.98E+12
2014,India,1295600772,2.13E+12
2015,India,1310152403,2.29E+12
2016,India,1324517249,2.48E+12
2017,India,1338676785,2.66E+12
1994,Germany,80832937,2.79E+12
1995,Germany,81138659,2.84E+12
1996,Germany,81323664,2.86E+12
1997,Germany,81399251,2.92E+12
1998,Germany,81402673,2.97E+12
1999,Germany,81389927,3.03E+12
2000,Germany,81400882,3.12E+12
2001,Germany,81453885,3.18E+12
2002,Germany,81535122,3.18E+12
2003,Germany,81614380,3.15E+12
2004,Germany,81646474,3.19E+12
2005,Germany,81602741,3.21E+12
2006,Germany,81472226,3.33E+12
2007,Germany,81277830,3.44E+12
2008,Germany,81065752,3.48E+12
2009,Germany,80899961,3.28E+12
2010,Germany,80827002,3.42E+12
2011,Germany,80855632,3.54E+12
2012,Germany,80972628,3.56E+12
2013,Germany,81174367,3.58E+12
2014,Germany,81450378,3.65E+12
2015,Germany,81787411,3.72E+12
2016,Germany,82193768,3.80E+12
2017,Germany,82658409,3.88E+12
1994,Japan,126053129,4.93E+12
1995,Japan,126365484,5.06E+12
1996,Japan,126644094,5.22E+12
1997,Japan,126892738,5.28E+12
1998,Japan,127117434,5.22E+12
1999,Japan,127326070,5.20E+12
2000,Japan,127524174,5.35E+12
2001,Japan,127713828,5.37E+12
2002,Japan,127893078,5.38E+12
2003,Japan,128058372,5.46E+12
2004,Japan,128204195,5.58E+12
2005,Japan,128326116,5.67E+12
2006,Japan,128422734,5.75E+12
2007,Japan,128494057,5.85E+12
2008,Japan,128538646,5.78E+12
2009,Japan,128555189,5.47E+12
2010,Japan,128542353,5.70E+12
2011,Japan,128498965,5.69E+12
2012,Japan,128423571,5.78E+12
2013,Japan,128314195,5.89E+12
2014,Japan,128168639,5.92E+12
2015,Japan,127985133,6.00E+12
2016,Japan,127763265,6.05E+12
2017,Japan,127502725,6.16E+12
